Impedance Data for Demo Speaker 1
Frequency (Hz), Impedance (Ohms)
20, 6.30
21, 6.30
22, 6.30
23, 6.30
24, 6.31
25, 6.31
26, 6.31
27, 6.31
28, 6.31
29, 6.32
30, 6.32
31, 6.32
32, 6.32
33, 6.33
34, 6.33
35, 6.33
36, 6.34
37, 6.34
38, 6.34
39, 6.35
40, 6.35
41, 6.36
42, 6.36
43, 6.37
44, 6.38
45, 6.38
46, 6.39
47, 6.40
48, 6.41
49, 6.42
50, 6.44
51, 6.45
52, 6.47
53, 6.50
54, 6.53
55, 6.57
56, 6.63
57, 6.72
58, 6.87
59, 7.16
60, 8.03
61, 55.20
62, 8.16
63, 7.22
64, 6.91
65, 6.76
66, 6.67
67, 6.61
68, 6.57
69, 6.54
70, 6.51
71, 6.49
72, 6.47
73, 6.46
74, 6.45
75, 6.44
76, 6.43
77, 6.42
78, 6.42
79, 6.41
80, 6.41
81, 6.40
82, 6.40
83, 6.40
84, 6.39
85, 6.39
86, 6.39
87, 6.38
88, 6.38
89, 6.38
90, 6.38
91, 6.38
92, 6.37
93, 6.37
94, 6.37
95, 6.37
96, 6.37
97, 6.37
98, 6.37
99, 6.37
100, 6.37
101, 6.36
102, 6.36
103, 6.36
104, 6.36
105, 6.36
106, 6.36
107, 6.36
108, 6.36
109, 6.36
110, 6.36
111, 6.36
112, 6.36
113, 6.36
114, 6.36
115, 6.36
116, 6.36
117, 6.36
118, 6.36
119, 6.36
120, 6.36
121, 6.36
122, 6.36
123, 6.36
124, 6.36
125, 6.35
126, 6.35
127, 6.35
128, 6.35
129, 6.35
130, 6.35
131, 6.35
132, 6.35
133, 6.35
134, 6.35
135, 6.35
136, 6.35
137, 6.35
138, 6.35
139, 6.35
140, 6.35
141, 6.35
142, 6.35
143, 6.35
144, 6.35
145, 6.35
146, 6.35
147, 6.36
148, 6.36
149, 6.36
150, 6.36
151, 6.36
152, 6.36
153, 6.36
154, 6.36
155, 6.36
156, 6.36
157, 6.36
158, 6.36
159, 6.36
160, 6.36
161, 6.36
162, 6.36
163, 6.36
164, 6.36
165, 6.36
166, 6.36
167, 6.36
168, 6.36
169, 6.36
170, 6.36
171, 6.36
172, 6.36
173, 6.36
174, 6.36
175, 6.36
176, 6.36
177, 6.36
178, 6.36
179, 6.36
180, 6.36
181, 6.36
182, 6.36
183, 6.36
184, 6.36
185, 6.36
186, 6.36
187, 6.36
188, 6.36
189, 6.36
190, 6.36
191, 6.36
192, 6.36
193, 6.36
194, 6.36
195, 6.36
196, 6.36
197, 6.36
198, 6.36
199, 6.36
200, 6.37
201, 6.37
202, 6.37
203, 6.37
204, 6.37
205, 6.37
206, 6.37
207, 6.37
208, 6.37
209, 6.37
210, 6.37
211, 6.37
212, 6.37
213, 6.37
214, 6.37
215, 6.37
216, 6.37
217, 6.37
218, 6.37
219, 6.37
220, 6.37
221, 6.37
222, 6.37
223, 6.37
224, 6.37
225, 6.37
226, 6.37
227, 6.37
228, 6.37
229, 6.37
230, 6.37
231, 6.37
232, 6.37
233, 6.37
234, 6.37
235, 6.38
236, 6.38
237, 6.38
238, 6.38
239, 6.38
240, 6.38
241, 6.38
242, 6.38
243, 6.38
244, 6.38
245, 6.38
246, 6.38
247, 6.38
248, 6.38
249, 6.38
250, 6.38
251, 6.38
252, 6.38
253, 6.38
254, 6.38
255, 6.38
256, 6.38
257, 6.38
258, 6.38
259, 6.38
260, 6.38
261, 6.38
262, 6.38
263, 6.38
264, 6.38
265, 6.38
266, 6.38
267, 6.38
268, 6.39
269, 6.39
270, 6.39
271, 6.39
272, 6.39
273, 6.39
274, 6.39
275, 6.39
276, 6.39
277, 6.39
278, 6.39
279, 6.39
280, 6.39
281, 6.39
282, 6.39
283, 6.39
284, 6.39
285, 6.39
286, 6.39
287, 6.39
288, 6.39
289, 6.39
290, 6.39
291, 6.39
292, 6.39
293, 6.39
294, 6.39
295, 6.39
296, 6.39
297, 6.39
298, 6.39
299, 6.40
300, 6.40
301, 6.40
302, 6.40
303, 6.40
304, 6.40
305, 6.40
306, 6.40
307, 6.40
308, 6.40
309, 6.40
310, 6.40
311, 6.40
312, 6.40
313, 6.40
314, 6.40
315, 6.40
316, 6.40
317, 6.40
318, 6.40
319, 6.40
320, 6.40
321, 6.40
322, 6.40
323, 6.40
324, 6.40
325, 6.40
326, 6.40
327, 6.40
328, 6.41
329, 6.41
330, 6.41
331, 6.41
332, 6.41
333, 6.41
334, 6.41
335, 6.41
336, 6.41
337, 6.41
338, 6.41
339, 6.41
340, 6.41
341, 6.41
342, 6.41
343, 6.41
344, 6.41
345, 6.41
346, 6.41
347, 6.41
348, 6.41
349, 6.41
350, 6.41
351, 6.41
352, 6.41
353, 6.41
354, 6.41
355, 6.41
356, 6.41
357, 6.41
358, 6.42
359, 6.42
360, 6.42
361, 6.42
362, 6.42
363, 6.42
364, 6.42
365, 6.42
366, 6.42
367, 6.42
368, 6.42
369, 6.42
370, 6.42
371, 6.42
372, 6.42
373, 6.42
374, 6.42
375, 6.42
376, 6.42
377, 6.42
378, 6.42
379, 6.42
380, 6.42
381, 6.42
382, 6.42
383, 6.42
384, 6.42
385, 6.42
386, 6.43
387, 6.43
388, 6.43
389, 6.43
390, 6.43
391, 6.43
392, 6.43
393, 6.43
394, 6.43
395, 6.43
396, 6.43
397, 6.43
398, 6.43
399, 6.43
400, 6.43
401, 6.43
402, 6.43
403, 6.43
404, 6.43
405, 6.43
406, 6.43
407, 6.43
408, 6.43
409, 6.43
410, 6.43
411, 6.43
412, 6.43
413, 6.43
414, 6.43
415, 6.44
416, 6.44
417, 6.44
418, 6.44
419, 6.44
420, 6.44
421, 6.44
422, 6.44
423, 6.44
424, 6.44
425, 6.44
426, 6.44
427, 6.44
428, 6.44
429, 6.44
430, 6.44
431, 6.44
432, 6.44
433, 6.44
434, 6.44
435, 6.44
436, 6.44
437, 6.44
438, 6.44
439, 6.44
440, 6.44
441, 6.44
442, 6.44
443, 6.45
444, 6.45
445, 6.45
446, 6.45
447, 6.45
448, 6.45
449, 6.45
450, 6.45
451, 6.45
452, 6.45
453, 6.45
454, 6.45
455, 6.45
456, 6.45
457, 6.45
458, 6.45
459, 6.45
460, 6.45
461, 6.45
462, 6.45
463, 6.45
464, 6.45
465, 6.45
466, 6.45
467, 6.45
468, 6.45
469, 6.45
470, 6.45
471, 6.46
472, 6.46
473, 6.46
474, 6.46
475, 6.46
476, 6.46
477, 6.46
478, 6.46
479, 6.46
480, 6.46
481, 6.46
482, 6.46
483, 6.46
484, 6.46
485, 6.46
486, 6.46
487, 6.46
488, 6.46
489, 6.46
490, 6.46
491, 6.46
492, 6.46
493, 6.46
494, 6.46
495, 6.46
496, 6.46
497, 6.46
498, 6.47
499, 6.47
500, 6.47
501, 6.47
502, 6.47
503, 6.47
504, 6.47
505, 6.47
506, 6.47
507, 6.47
508, 6.47
509, 6.47
510, 6.47
511, 6.47
512, 6.47
513, 6.47
514, 6.47
515, 6.47
516, 6.47
517, 6.47
518, 6.47
519, 6.47
520, 6.47
521, 6.47
522, 6.47
523, 6.47
524, 6.47
525, 6.47
526, 6.48
527, 6.48
528, 6.48
529, 6.48
530, 6.48
531, 6.48
532, 6.48
533, 6.48
534, 6.48
535, 6.48
536, 6.48
537, 6.48
538, 6.48
539, 6.48
540, 6.48
541, 6.48
542, 6.48
543, 6.48
544, 6.48
545, 6.48
546, 6.48
547, 6.48
548, 6.48
549, 6.48
550, 6.48
551, 6.48
552, 6.48
553, 6.49
554, 6.49
555, 6.49
556, 6.49
557, 6.49
558, 6.49
559, 6.49
560, 6.49
561, 6.49
562, 6.49
563, 6.49
564, 6.49
565, 6.49
566, 6.49
567, 6.49
568, 6.49
569, 6.49
570, 6.49
571, 6.49
572, 6.49
573, 6.49
574, 6.49
575, 6.49
576, 6.49
577, 6.49
578, 6.49
579, 6.49
580, 6.49
581, 6.50
582, 6.50
583, 6.50
584, 6.50
585, 6.50
586, 6.50
587, 6.50
588, 6.50
589, 6.50
590, 6.50
591, 6.50
592, 6.50
593, 6.50
594, 6.50
595, 6.50
596, 6.50
597, 6.50
598, 6.50
599, 6.50
600, 6.50
601, 6.50
602, 6.50
603, 6.50
604, 6.50
605, 6.50
606, 6.50
607, 6.50
608, 6.51
609, 6.51
610, 6.51
611, 6.51
612, 6.51
613, 6.51
614, 6.51
615, 6.51
616, 6.51
617, 6.51
618, 6.51
619, 6.51
620, 6.51
621, 6.51
622, 6.51
623, 6.51
624, 6.51
625, 6.51
626, 6.51
627, 6.51
628, 6.51
629, 6.51
630, 6.51
631, 6.51
632, 6.51
633, 6.51
634, 6.51
635, 6.52
636, 6.52
637, 6.52
638, 6.52
639, 6.52
640, 6.52
641, 6.52
642, 6.52
643, 6.52
644, 6.52
645, 6.52
646, 6.52
647, 6.52
648, 6.52
649, 6.52
650, 6.52
651, 6.52
652, 6.52
653, 6.52
654, 6.52
655, 6.52
656, 6.52
657, 6.52
658, 6.52
659, 6.52
660, 6.52
661, 6.52
662, 6.53
663, 6.53
664, 6.53
665, 6.53
666, 6.53
667, 6.53
668, 6.53
669, 6.53
670, 6.53
671, 6.53
672, 6.53
673, 6.53
674, 6.53
675, 6.53
676, 6.53
677, 6.53
678, 6.53
679, 6.53
680, 6.53
681, 6.53
682, 6.53
683, 6.53
684, 6.53
685, 6.53
686, 6.53
687, 6.53
688, 6.53
689, 6.54
690, 6.54
691, 6.54
692, 6.54
693, 6.54
694, 6.54
695, 6.54
696, 6.54
697, 6.54
698, 6.54
699, 6.54
700, 6.54
701, 6.54
702, 6.54
703, 6.54
704, 6.54
705, 6.54
706, 6.54
707, 6.54
708, 6.54
709, 6.54
710, 6.54
711, 6.54
712, 6.54
713, 6.54
714, 6.54
715, 6.54
716, 6.54
717, 6.55
718, 6.55
719, 6.55
720, 6.55
721, 6.55
722, 6.55
723, 6.55
724, 6.55
725, 6.55
726, 6.55
727, 6.55
728, 6.55
729, 6.55
730, 6.55
731, 6.55
732, 6.55
733, 6.55
734, 6.55
735, 6.55
736, 6.55
737, 6.55
738, 6.55
739, 6.55
740, 6.55
741, 6.55
742, 6.55
743, 6.55
744, 6.56
745, 6.56
746, 6.56
747, 6.56
748, 6.56
749, 6.56
750, 6.56
751, 6.56
752, 6.56
753, 6.56
754, 6.56
755, 6.56
756, 6.56
757, 6.56
758, 6.56
759, 6.56
760, 6.56
761, 6.56
762, 6.56
763, 6.56
764, 6.56
765, 6.56
766, 6.56
767, 6.56
768, 6.56
769, 6.56
770, 6.56
771, 6.57
772, 6.57
773, 6.57
774, 6.57
775, 6.57
776, 6.57
777, 6.57
778, 6.57
779, 6.57
780, 6.57
781, 6.57
782, 6.57
783, 6.57
784, 6.57
785, 6.57
786, 6.57
787, 6.57
788, 6.57
789, 6.57
790, 6.57
791, 6.57
792, 6.57
793, 6.57
794, 6.57
795, 6.57
796, 6.57
797, 6.58
798, 6.58
799, 6.58
800, 6.58
801, 6.58
802, 6.58
803, 6.58
804, 6.58
805, 6.58
806, 6.58
807, 6.58
808, 6.58
809, 6.58
810, 6.58
811, 6.58
812, 6.58
813, 6.58
814, 6.58
815, 6.58
816, 6.58
817, 6.58
818, 6.58
819, 6.58
820, 6.58
821, 6.58
822, 6.58
823, 6.58
824, 6.59
825, 6.59
826, 6.59
827, 6.59
828, 6.59
829, 6.59
830, 6.59
831, 6.59
